,name,price,end_date,Distillery,Age,Region,Bottler,Bottled Strength,Bottle Size,Distillery Status,details,Vintage,Cask Type,reserve_met
6182051,Springbank 10 Year Old,75,2023-10-04,Springbank,10 Year Old,Campbeltown,Official,46%,70cl,Operational,"Springbank 10 Year OldSpringbank distillery has been owned and operated by the Mitchell family in Campbeltown since 1837, and it one of Scotland's most revered distilleries. Following a brief mothballing between 1979 and 1987, upon the reopening the decision was taken to cease all sales to the blending industry and focus on its single malt sales. Today it is one of the only distilleries to malt, distil, bottle and mature whisky on the same site, and produces three distinct and highly prized single malts.This is the classic 10 year old entry level expression from Springbank.",,bourbon,
6182052,Blood Oath Kentucky Straight Bourbon 2022 / Pact No.8,150,2023-10-04,,,"Kentucky, USA",Luxco,49.3% / 98.6 Proof,75cl,,"Blood Oath Kentucky Straight Bourbon 2022/ Pact No.8Luxco was established as the David Sherman Corporation in 1958 by David Sherman Sr. and Paul A. Lux. David Sherman was one of the many companies that profited from the initial United Distillers investment and subsequent Diageo divestment in bourbon, acquiring the Ezra Brooks brand from United Distillers in 1993 after they closed down the Medley distillery where it was made to focus on Bernheim and its brands. They then later added the struggling Rebel Yell and David Nicholson brands (both formerly produced at the legendary Stitzel-Weller) in 1999 and 2000, the result of Diageo selling Bernheim to Heaven Hill and looking to offload its other unwanted brands. The company was renamed Luxco in 2006 and has successfully rejuvenated both the images and reputations of the historic brands that it now markets. Initially without a distillery and contracting production to Heaven Hill, they opened the Lux Row distillery in Kentucky in 2018. In early 2021 it was announced that Luxco would be acquired by MGP, who’s Indiana distillery will provide it with whiskey for its brands until the 1m litre capacity Lux Row has enough mature stock to be fully self-sustaining.This is the seventhin the popular Blood Oath series, produced by Luxco using sourced bourbon from neighbouring distilleries.The 2022release is a blend of the following three whiskies...A Single 14 Year Old BourbonA Single 11Year Old BourbonA Single 8 Year Old Bourbon Finished in ex-Calvados casks .",,Calvados Finish,
6182053,Glenallachie 13 Year Old Oloroso Wood Finish / Kirsch Import,65,2023-10-04,Glenallachie,13 Year Old,Speyside,Official,48%,70cl,Operational,"Glenallachie 13 Year Old Oloroso Wood Finish / Kirsch ImportGlenallachie distillery was built by Mackinlays in 1967 to meet the demands of its blends following an upturn in sales in the US. In its short history it has passed through the hands of Invergordon Distillers and Pernod-Ricard. During this period the focus was always on the provision of blends, with over 20 years between the first Mackinlay’s distillery bottlings of its single malt and the next official release from Chivas Brothers in 2005. Now in the hands of Billy Walker, Glenallachie is finally being pushed as an increasingly popular single malt brand since 2017.This whisky has been aged for 13 years and has been finished in Oloroso Sherry Puncheons before being bottled in 2022.",,Oloroso Wood Finish,
6182054,Blood Oath Kentucky Straight Bourbon 2019 / Pact No.5,190,2023-10-04,,,"Kentucky, USA",Luxco,49.3%,75cl,,"Blood Oath Kentucky Straight Bourbon 2019 / Pact No.5Luxco was established as the David Sherman Corporation in 1958 by David Sherman Sr. and Paul A. Lux. David Sherman was one of the many companies that profited from the initial United Distillers investment and subsequent Diageo divestment in bourbon, acquiring the Ezra Brooks brand from United Distillers in 1993 after they closed down the Medley distillery where it was made to focus on Bernheim and its brands. They then later added the struggling Rebel Yell and David Nicholson brands (both formerly produced at the legendary Stitzel-Weller) in 1999 and 2000, the result of Diageo selling Bernheim to Heaven Hill and looking to offload its other unwanted brands. The company was renamed Luxco in 2006 and has successfully rejuvenated both the images and reputations of the historic brands that it now markets. Initially without a distillery and contracting production to Heaven Hill, they opened the Lux Row distillery in Kentucky in 2018. In early 2021 it was announced that Luxco would be acquired by MGP, who’s Indiana distillery will provide it with whiskey for its brands until the 1m litre capacity Lux Row has enough mature stock to be fully self-sustaining.This is the fifthin the popular Blood Oath series, produced by Luxco using sourced bourbon from neighbouring distilleries.The 2019release is a blend of three different whiskies...13 year old mahogany bourbon11 year old wheated bourbon8 year old bourbon fnished in Caribbean rum barrels",,rum cask finish,
6182055,Hazelburn 21 Year Old 2022 Release,340,2023-10-04,Springbank,21 Year Old,Campbeltown,Official,46%,70cl,Operational,"Hazelburn 21 Year Old 2022 ReleaseFirst distilled in 1997, Hazelburn is the triple distilled single malt produced at Springbank distillery, and is named after the distillery of the same name, mothballed in 1925. Although very popular, Hazelburn remains an elusive whisky.Like Longrow, their peated single malt, it makes up10% of the annual production at Springbank each year, resulting in around 100 to 150 casks. The first bottlings of Hazelburn were released in 2005.This 21year old malt and has been matured in a combination of 30% ex-Bourbon and 70% ex-Sherry casks. Upon it's release in June 2022, it was limited to just 3,600 bottles.",,See Lot Description,
6182056,Glenallachie 2011 Single Port Cask 11 Year Old #7450 / Germany,60,2023-10-04,Glenallachie,11 Year Old,Speyside,Official,58.1%,70cl,Operational,"Glenallachie 2011 Single Port Cask 11 Year Old #7450 / GermanyGlenallachie distillery was built by Mackinlays in 1967 to meet the demands of its blends following an upturn in sales in the US. In its short history it has passed through the hands of Invergordon Distillers and Pernod-Ricard. During this period the focus was always on the provision of blends, with over 20 years between the first Mackinlay’s distillery bottlings of its single malt and the next official release from Chivas Brothers in 2005. Now in the hands of Billy Walker, Glenallachie is finally being pushed as an increasingly popular single malt brand since 2017.This whisky was distilled on 15th February 2011 and aged for 11years in single ex-Port pipe#7450. One of 874 bottles released exclusively for the Germany.",2011,Ruby Port Pippe,
6182057,Dingle 2014 Single PX Cask Single Malt / Kirsch Import,110,2023-10-04,Dingle,,Ireland,Official,59.7%,70cl,Operational,"Dingle 2014 Single PX Cask Single Malt / Kirsch ImportA distillery based in the Irish town of Dingle was the brainchild of Oliver Hughes, founder of the Porterhouse pub chain. It was created on the site of a converted sawmill, and began production 2012. Its first releases were bottled in late 2016, and proved such a hit that production capacity was doubled in 2018 to meet the rising demand. Their inaugural single pot still release in 2017 was the first of its kind to be produced by an independent distillery in Ireland for several decades, but has since been replicated by Teeling in Dublin as well.This is a triple-distilled single malt release from the distillery. It ismatured in a PXsherry cask, until being bottled in 2022.",2014,px sherry,
6182060,Mortlach 21 Year Old Gordon and MacPhail,90,2023-10-04,Mortlach,21 Year Old,Speyside,Gordon & MacPhail,43%,70cl,Operational,"Mortlach 21 Year Old Gordon and MacPhailMortlach was founded in 1823 and was the first of Dufftown's ""Seven Stills"" to be licensed. It rose to pre-eminence under George Cowie & Son, who's unique distillation regime produced a famously ""meaty"" whisky, which was highly prized by blenders. It was for this reason that it was acquired by John Walker & Sons, and so important to them was it that little stock was left available for bottling as a single malt. The Flora & Fauna release was the first official distillery bottling, but it was not until 2014 that Mortlach was bottled under its own fully fledged single malt brand. Thankfully, there have been many spectacular releases from independent labels like this over the years.Mortlach was one of the distilleries that licensed its brand to Gordon & MacPhail to produce official releases in the 1970s and 1980s, not having the capacity to do so itself at the time. This good standing with the distillery furnished the Elgin-based independent firm with a steady supply of high quality casks, and subsequently, high quality releases.",,,
6182061,Macallan 2000 Gordon and MacPhail Speymalt #1756,421,2023-10-04,Macallan,,Speyside,Gordon & MacPhail,56.4%,70cl,Operational,"Macallan 2000 Gordon and MacPhail Speymalt #1756It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Gordon & MacPhail helped Macallan survive during the 1930s and 1940s by buying a regular batch of stock from them, and this good standing has given them continued access to high quality casks over the years. The Speymalt series provided an excellent and affordable way to experience vintage Macallan as the popularity of distillery bottlings made them increasingly difficult to source.This whisky was distilled in 2000 and aged in single cask #1756before being bottled at cask strength in 2021.One of 210bottles.",2000,,
6182062,Highland Park Ice Edition 17 Year Old,130,2023-10-04,Highland park,17 Year Old,Island,Official,53.9%,70cl,Operational,"Highland Park Ice Edition 17 Year OldHighland Park was built by David Robertson all the way back in 1798. The distillery's relationship with blenders, Robertson & Baxter, saw it acquired by Highland Distillers in 1937, who were subsequently bought by Edrington in 1999, who run it today. The modern Highland Park single malt brand was first officially bottled in the 1970s, with the release of an 8 year old age statement, but distillery bottlings first appeared around the 1950s. The look of the brand has changed many times over the years, but its cult following and popularity has never diminished. It remains one of the most recognisable single malts in the world to this day.Released in 2016, Highland ParkIce Editionis 17 years old and mostly matured in bourbon. It was followed by the port-maturedFire Editionlater that year.One of 30,000 bottles.",,,
6182063,Highland Park Fire Edition 15 Year Old,110,2023-10-04,Highland Park,15 Year Old,Island,Official,45.2%,70cl,Operational,"Highland Park Fire Edition 15 Year OldHighland Park was built by David Robertson all the way back in 1798. The distillery's relationship with blenders, Robertson & Baxter, saw it acquired by Highland Distillers in 1937, who were subsequently bought by Edrington in 1999, who run it today. The modern Highland Park single malt brand was first officially bottled in the 1970s, with the release of an 8 year old age statement, but distillery bottlings first appeared around the 1950s. The look of the brand has changed many times over the years, but its cult following and popularity has never diminished. It remains one of the most recognisable single malts in the world to this day.Released in late 2016, this followed the introduction of the Ice Edition, launched earlier that year. Fire Edition was fully matured in refill port casks for 15 years.One of 28,000 bottles.",,Refill Port Casks,
6182064,Talisker 25 Year Old 2012 Release,225,2023-10-04,Talisker,25 Year Old,Island,Official,45.8%,70cl,Operational,"Talisker 25 Year Old 2012 ReleaseFor a long time, Talisker was the sole distillery on Scotland’s iconic Isle of Skye. Renowned for the quality of its output, the distillery has rarely changed hands, joining DCL (now Diageo) back in 1916. Despite this, releases were not the most common. An 8 year old was bottled officially and Gordon & MacPhail produced what are now classic and sought after vintage bottlings under official license from the distillery. When a 10 year old expression became a founding pillar of United Distillers’ Classic Malts range in 1988, the popularity of the distillery exploded, and it is now one of the most revered and exported in Scotland.Released within Diageo's 'Superpremium' editions, Talisker 25 year old has been bottled a number of times, this particular bottle is from the 2012 release.One of 6318 bottles.",,,
6182065,Bowmore 25 Year Old,270,2023-10-04,Bowmore,25 Year Old,Islay,Official,43%,70cl,Operational,"Bowmore 25 Year OldAbottling of the revered 25 year oldBowmore, a staple of the core range since the 1990s.Islay’s oldest working distillery, Bowmore was established in 1779 and is now regarded as one of the most popular malts not only on Islay, but in the whole of Scotland. The distillery was acquired by Stanley P. Morrison in 1963, ushering in an era of iconic single malts, including the legendary Black Bowmore, credited by many as the genesis of whisky collecting, bottled in 1993. The distillery was bought under the control Suntory the year after (they had been stakeholders since 1989), and it remains one of the most collectible brands in Scotch whisky today. Bowmore is one of the few remaining Scottish distilleries to use its own floor maltings, providing them with 40% of their requirements.",,,
6182066,Talisker 25 Year Old 2011 Release 75cl / US Import,330,2023-10-04,Talisker,25 Year Old,Island,Official,45.8%,70cl,Operational,"Talisker 25 Year Old 2011 Release 75cl / US ImportUnveiled as part of Diageo'sannual releases, Talisker 25 Year Old has been bottled a number of times, this particular bottle is from the 2011release.For a long time, Talisker was the sole distillery on Scotland’s iconic Isle of Skye. Renowned for the quality of its output, the distillery has rarely changed hands, joining DCL (now Diageo) back in 1916. Despite this, releases were not the most common. An 8 year old was bottled officially and Gordon & MacPhail produced what are now classic and sought after vintage bottlings under official license from the distillery. When a 10 year old expression became a founding pillar of United Distillers’ Classic Malts range in 1988, the popularity of the distillery exploded, and it is now one of the most revered and exported in Scotland.One of 5,946 bottles.",,Refill Casks,
5119257,Brora 1977 Rare Malts 21 Year Old / 56.90%,1650,2023-10-04,Brora,21 Year Old,Highland,Official,56.90%,70cl,Operational,"Brora 1977 Rare Malts 21 Year Old / 56.90%TheRare Malts Selectionwas a historic selection of single malt whiskies from operational and lost distilleries that were released by Diageo between 1995 and 2005. As with the Flora & Fauna series, they were often from lesser-seen single malt distilleries.Brora distillery (originally known as Clynelish) was built by the Duke of Sutherland in 1819. Prized by blenders, the distillery found itself in the hands of DCL in 1925 when they acquired shareholders, Ainslie & Heilbron and John Walker & Sons. DCL closed the distillery in 1967 after opening a new, larger Clynelish next-door, but re-opened the first site, now renamed as Brora the following year. Bottlings of the whisky it produced between then and its second closure in 1983 are now increasingly sought after. In 2017 it was announced that Diageo planned to re-open this formerly lost gem, and the revived distillery filled its first casks on 19th May 2021.Although an extensive series of annual releases was to follow, theRare Malts Selectionwere the first official distillery bottlings to bear the Brora name.This bottle was distilled in 1977 and bottled in October 1998.",1977,,
5119312,Tomatin 1965 Moon Import / The Animals,900,2023-10-04,Tomatin,,Highland,Moon Import,46%,75cl,Operational,"Tomatin 1965 Moon Import / The AnimalsMoon Import was founded by Pepi Mongiardino in 1980 and he bottled his first whisky in 1982. Always beautifully labelled, Pepi is acclaimed for designing the packaging for Moon Import bottles himself, often using images found in old books. These iconic designs, coupled with the quality of the liquid saw Moon Import steadily grow in popularity. The company is still going strong, and their early releases are some of the brightest gems in any whisky collection.Tomatin was once the largest distillery in Scotland, with an expansion in 1976 bringing its still count to a whopping 23 (with a capacity for 10 million litres). Anover-stretch at the time, it was forced into liquidation in 1985, never having run at full capacity. The following year it became Scotland's first ever Japanese-owned distillery after it was saved by a consortium of long-term customers. Nowadays it provides the heart to the popular Antiquary blend in addition to continuing to produce a highly regarded single malt.This Tomatin was matured in hogsheads #124, #125 and #126 before being bottled in 1989 and part of The Animals series.The Animals series was bottled between 1989 and 1990, however three Japanese exclusives were added in 2001.One of 600 bottles.",1965,3 x Hogsheads,
5119329,Tobermory 1972 Moon Import / De Viris Illustribus,1750,2023-10-04,Tobermory,,Island,Moon Import,50%,70cl,Operational,"Tobermory 1972 Moon Import / De Viris IllustribusMoon Import was founded by PepiMongiardinoin 1980. Heeding the advice of the late, great, Silvano Samaroli, he opted to be ""free from the big companies,"" and became the official distributor for Islay'sBruichladdich, and later Tamnavulin and Tullibardine, preferring however to procure casks from private owners. Mongiardino bottled his first whisky in 1982, titled the Half Moon series. Always beautifully labelled, Pepiis acclaimed for designing the packaging for Moon Import bottles himself, using images found in old books. The famous Birds, Animals, Costumes and Sea series were all labelled using pictures he discovered in an 18th century German encyclopaedia. These iconic designs, coupled with the quality of the liquid saw Moon Import steadily grow in popularity, and with the help of Intertrade founder, Nadi Fiori, they exported their first bottles to Japan in 2001.Moon Import now occupies an important place in the pantheon of historic whisky greats, and we are delighted to bring this unrivalled collection to market in this exclusive auction.This is a 1972vintage Tobermory from their De Viribus Illustribus series. 1972 was the first year of production at Tobermorydistillery since 1930, and it was actually briefly named Ledaigat this time. This name lives on today as the title of the distillery'speatedexpression.Bottled for Moon Import in 1995 by Brae Dean. De Viris Illustribus is Latin for ""about famous men.""Oneof 600 bottles.",1972,,
6199517,Springbank 1970 Single Cask #1765,2301,2023-10-04,Springbank,,Campbeltown,Official,46%,70cl,Operational,"Springbank 1970 Single Cask #1765Springbank distillery has been owned and operated by the Mitchell family in Campbeltown since 1837, and it one of Scotland's most revered distilleries. Following a brief mothballing between 1979 and 1987, upon the reopening the decision was taken to cease all sales to the blending industry and focus on its single malt sales. Today it is the only distillery to malt, distil, bottle and mature whisky on the same site, and produces three distinct and highly prized single malts.This 1970 vintage was bottled in July 1993.",1970,,1.0
7003529,Adelphi Glover 14 Year Old,150,2023-10-04,see lot description,14 Year Old,Scotland & Japan,Adelphi,44.3%,70cl,Operational,"Adelphi Glover 14 Year OldThis is a 14 year old fusion of Japanese malt and Scottish malt. Named after Scotsman Thomas Glover who moved to Japan and set up The Japan Brewery Company and the company that would become Mitsubishi.The Glover is a blend of whisky from Longmorn and Glen Garioch distilleries in Scotland, and the legendary closed distilleryHanyuin Japan.Adelphi has a rich history, operating as a distillery in the Gorbals district of Glasgow from 1825, producing spirit from the waters of Loch Katrine. The distillery ceased production in the early 20th century however and several changes in ownership culminating in a takeover by Distillers Company Ltd in 1902. The Adelphi name was revived in 1993 by Jamie Walker, great-grandson of former distillery owner Archibald. With a lineage of whisky expertise he operated Adelphi as private bottling company, which now in the hands of Keith Falconer and David Houston, continues the fine work he began of bottling top quality expressions from Scotland's finest distilleries. The company is now also distilling their own whisky at Ardnamurchan distillery in Glenbeg.Bottled in 2015, the 14 year old is one of two bottles comprising the first release.One of 1500 bottles.",,,1.0
7003531,Chivas Royal Salute 28 Year Old The Flask Edition,550,2023-10-04,,28 Year Old,Scotland,Chivas Brothers,40%,70cl,,"Chivas Royal Salute 28 Year Old The Flask EditionThe first Chivas Regal blend was launched by Chivas Brothers in 1909, a premium brand that quickly developed a big market in the US. While Prohibition put a temporary halt to its success ten years later, it also allowed Canadian distillers, Seagram, to become the biggest drinks company in North America, and they targeted Chivas Brothers straight away when buying into the Scotch market. They acquired the firm in 1949, adding Strathisla to its portfolio, and building a further three more distilleries. Over the years they also acquired the assets of Campbell Distillers and The Glenlivet Distillers, positioning it as one of the largest whisky companies in Scotland. The Seagram empire eventually collapsed in the early 2000s, with its Chivas Brothers arm picked up by Pernod-Ricard, along with Allied Domecq in a separate acquisition, bringing over the Ballantine's brand. Chivas now produces two of the top three selling blends in the world, and its distillery portfolio, with Glenlivet as its flagship brand, is rivalled only by that of Diageo.Created by master blender, Charles H Julian, the Royal Salute was launched in 1953 as a tribute to the newly crowned Queen Elizabeth II.This28year old blended whisky is displayed in a dark green porcelain flagon produced by Wade ofStoke-on-Trent, England and is partnered with a matching flask and funnel. A branded wooden display tray is also included.",,,1.0
7003526,Taketsuru 21 Year Old Pure Malt,650,2023-10-04,,21 Year Old,Japan,Nikka,43%,70cl,Operational,"Taketsuru 21 Year Old Pure MaltNikka was founded in 1934 by Masataka Taketsuru, a former Suntory employee who had studied at the University of Glasgow, and later trained as a blender at the now lost Hazelburn distillery in Campbeltown. Taketsuru opened the Yoichi distillery in the same year as establishing the company, followed by the Nishinomaya and Miyagikyo distilleries in 1959 and 1969, respectively. Since 1989 the company has also has also had a stake in the Scotch whisky industry after they purchased the struggling Ben Nevis distillery. Today they are one of the second largest whisky producer in Japan.This range of blended malts is named after the Nikkafounder. Taketsuru 21year old was highly acclaimed, but was discontinued alongside the 25 and 17 year old expressions in 2020 after unprecedented 21st century demand for Japanese whisky left even its largest companies suffering from stock shortages.",,,1.0
7003528,Talisker 30 Year Old 2013 Release,580,2023-10-04,Talisker,30 Year old,Island,Official,45.8%,70cl,Operational,"Talisker 30 Year Old 2013 ReleaseFor a long time, Talisker was the sole distillery on Scotland’s iconic Isle of Skye. Renowned for the quality of its output, the distillery has rarely changed hands, joining DCL (now Diageo) back in 1916. Despite this, releases were not the most common. An 8 year old was bottled officially and Gordon & MacPhail produced what are now classic and sought after vintage bottlings under official license from the distillery. When a 10 year old expression became a founding pillar of United Distillers’ Classic Malts range in 1988, the popularity of the distillery exploded, and it is now one of the most revered and exported in Scotland.Released in 2013, this is a30 year old Talisker limited to just 3738 bottles.",,,1.0
