,name,price,reserve_met,end_date,Distillery,Age,Vintage,Region,Bottler,Cask Type,Bottled Strength,Bottle Size,Distillery Status,details
5064353,Macallan Concept Number 2 / Music,170,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,N/A,40%,70cl,Operational,"Macallan Concept Number 2 / MusicIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released at the end of 2019 and createdexclusively for global travel retail, this isthe second of three whiskies that will complete the Concept Series. The second release celebrates Music.The idea for the bottlecame from Macallan Whisky Maker Steve Bremnerwho by day blends whisky and by night mixesmusic as a DJ.""Music has inspired many aspects of my life, both creatively and practically, as has whisky, so the creation of Concept Number 2 allowed me to look at my two passions through a different lens""- SteveBremnerThe whisky itself has been matured inSherry-seasoned casks, and then ex-Bourbon barrels."
5064351,Macallan Concept Number 2 / Music,180,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,N/A,40%,70cl,Operational,"Macallan Concept Number 2 / MusicIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released at the end of 2019 and createdexclusively for global travel retail, this isthe second of three whiskies that will complete the Concept Series. The second release celebrates Music.The idea for the bottlecame from Macallan Whisky Maker Steve Bremnerwho by day blends whisky and by night mixesmusic as a DJ.""Music has inspired many aspects of my life, both creatively and practically, as has whisky, so the creation of Concept Number 2 allowed me to look at my two passions through a different lens""- SteveBremnerThe whisky itself has been matured inSherry-seasoned casks, and then ex-Bourbon barrels."
5068678,Stagg Jr Barrel Proof Bourbon Batch #9,310,,2023-10-04,Buffalo Trace,n/a,N/A,"Kentucky, USA",Official,N/A,131.9 us proof / 65.95%,75cl,Operational,"Stagg Jr Barrel Proof Bourbon Batch #9A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Because Sazerac did not own the the existing distillery portfolio, they necessarily had to begin adding new brands to their range. Besides their eponymous flagship bourbon, perhaps the most important of these was this, the George T. Stagg. It was originally added to the annual Antique Collection in 2002, quickly becoming a flag-bearer for the range. Stagg Jr was the brands first line extension, and was launched in 2013. A barrel proof bourbon, these are bottled in twice-annual batches and receive a wider and more accessible distribution than their hugely sought-after sibling.Batch #9 was released in the autumn of 2017."
5068674,Stagg Jr Barrel Proof Bourbon Batch #9,310,,2023-10-04,Buffalo Trace,n/a,N/A,"Kentucky, USA",Official,N/A,131.9 us proof / 65.95%,75cl,Operational,"Stagg Jr Barrel Proof Bourbon Batch #9A historic distillery, Buffalo Trace was built in 1812 Harrison Blanton. It was then purchased by the legendary Edmund Haynes Taylor Jr in 1870, who named it OFC (Old Fashioned Copper) and invested heavily in its modernisation. So much so in fact that he declared himself bankrupt after just seven years, and George T. Stagg stepped in to rescue it, becoming its owner in 1878. He ran the distillery until his retirement in the 1890s, and it was renamed in his honour in 1904. Having survived Prohibition, it was bought up by the Schenley company in 1933, who ran it as part of their extensive portfolio for the next fifty years, eventually selling it to Age International. The latter's new Japanese ownership in 1992 had no interest in it (only in its brands), and immediately sold it to the Sazerac company, who renamed it Buffalo Trace in 1999.Because Sazerac did not own the the existing distillery portfolio, they necessarily had to begin adding new brands to their range. Besides their eponymous flagship bourbon, perhaps the most important of these was this, the George T. Stagg. It was originally added to the annual Antique Collection in 2002, quickly becoming a flag-bearer for the range. Stagg Jr was the brands first line extension, and was launched in 2013. A barrel proof bourbon, these are bottled in twice-annual batches and receive a wider and more accessible distribution than their hugely sought-after sibling.Batch #9 was released in the autumn of 2017."
5068749,Macallan Classic Cut 2020 Release,140,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,sherry,55%,70cl,Operational,"Macallan Classic Cut 2020 ReleaseIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.This is the fourthrelease of the Classic Cut series, first introduced in 2017. The expression takes its name from the third of Macallan's six pillars, known as the ""finest cut,"" in reference to their selection of only the most superior quality spirit from their stills."
5068747,Macallan Classic Cut 2020 Release,153,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,sherry,55%,70cl,Operational,"Macallan Classic Cut 2020 ReleaseIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.This is the fourthrelease of the Classic Cut series, first introduced in 2017. The expression takes its name from the third of Macallan's six pillars, known as the ""finest cut,"" in reference to their selection of only the most superior quality spirit from their stills."
5068746,Macallan Classic Cut 2020 Release,143,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,sherry,55%,70cl,Operational,"Macallan Classic Cut 2020 ReleaseIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.This is the fourthrelease of the Classic Cut series, first introduced in 2017. The expression takes its name from the third of Macallan's six pillars, known as the ""finest cut,"" in reference to their selection of only the most superior quality spirit from their stills."
5068744,Macallan Classic Cut 2020 Release,153,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,sherry,55%,70cl,Operational,"Macallan Classic Cut 2020 ReleaseIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.This is the fourthrelease of the Classic Cut series, first introduced in 2017. The expression takes its name from the third of Macallan's six pillars, known as the ""finest cut,"" in reference to their selection of only the most superior quality spirit from their stills."
5068738,Macallan Classic Cut 2020 Release,143,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,sherry,55%,70cl,Operational,"Macallan Classic Cut 2020 ReleaseIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.This is the fourthrelease of the Classic Cut series, first introduced in 2017. The expression takes its name from the third of Macallan's six pillars, known as the ""finest cut,"" in reference to their selection of only the most superior quality spirit from their stills."
5071465,Macallan Edition No.5,161,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,See Lot Description,48.5%,70cl,Operational,"Macallan Edition No.5It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released in 2019, this is the fifthbottlingin what has become an annual limited release.Edition No.5is a collaboration with the Pantone Colour Institute, who have designed the striking purple box to compliment the hue of this marriage of exclusively American casks.The liquid has been matured in the following types of cask:First fill bourbon barrelsSecond fill hogsheads and buttsFirst fill Tevasa hogsheadsFirst fill Vasyma buttsFirst fill hudosa hogsheads and butts"
5071467,Macallan Edition No.5,145,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,See Lot Description,48.5%,70cl,Operational,"Macallan Edition No.5It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released in 2019, this is the fifthbottlingin what has become an annual limited release.Edition No.5is a collaboration with the Pantone Colour Institute, who have designed the striking purple box to compliment the hue of this marriage of exclusively American casks.The liquid has been matured in the following types of cask:First fill bourbon barrelsSecond fill hogsheads and buttsFirst fill Tevasa hogsheadsFirst fill Vasyma buttsFirst fill hudosa hogsheads and butts"
5071469,Macallan Edition No.5,170,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,See Lot Description,48.5%,70cl,Operational,"Macallan Edition No.5It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released in 2019, this is the fifthbottlingin what has become an annual limited release.Edition No.5is a collaboration with the Pantone Colour Institute, who have designed the striking purple box to compliment the hue of this marriage of exclusively American casks.The liquid has been matured in the following types of cask:First fill bourbon barrelsSecond fill hogsheads and buttsFirst fill Tevasa hogsheadsFirst fill Vasyma buttsFirst fill hudosa hogsheads and butts"
5071519,Macallan Edition No.5,177,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,See Lot Description,48.5%,70cl,Operational,"Macallan Edition No.5It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released in 2019, this is the fifthbottlingin what has become an annual limited release.Edition No.5is a collaboration with the Pantone Colour Institute, who have designed the striking purple box to compliment the hue of this marriage of exclusively American casks.The liquid has been matured in the following types of cask:First fill bourbon barrelsSecond fill hogsheads and buttsFirst fill Tevasa hogsheadsFirst fill Vasyma buttsFirst fill hudosa hogsheads and butts"
5071521,Macallan Edition No.5,160,,2023-10-04,Macallan,N/A,N/A,Speyside,Official,See Lot Description,48.5%,70cl,Operational,"Macallan Edition No.5It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released in 2019, this is the fifthbottlingin what has become an annual limited release.Edition No.5is a collaboration with the Pantone Colour Institute, who have designed the striking purple box to compliment the hue of this marriage of exclusively American casks.The liquid has been matured in the following types of cask:First fill bourbon barrelsSecond fill hogsheads and buttsFirst fill Tevasa hogsheadsFirst fill Vasyma buttsFirst fill hudosa hogsheads and butts"
5071586,Ben Nevis 10 Year Old pre-2016,66,,2023-10-04,Ben Nevis,10 Year Old,,Highland,Official,,46%,70cl,Operational,"Ben Nevis 10 Year Old pre-2016Ben Nevis distillery was built by ""Long"" John MacDonald in1825, andwas so popular by the end of the 19th century that at one point the estate employed over 200 people. After a series of closure and re-openings at the beginning of the 20th, it was eventually bought by former Canadian bootlegger, Joseph Hobbs. He installed acoffeystill there in 1955, making Ben Nevis Scotland's first dual-operation distillery, and began to blend its malt and grain before filling it to cask. Sporadic closures again followedHobb'sdeath, with stability finally ensured in 1989 when it was bought by long-term customers, Nikka Whisky of Japan. Its turbulent history means there were few distillery bottlings until the launch of this10 year oldsingle malt in 1996.This was the longest serving version of the 10 year old expression. It was updated and repackaged in 2016 and again 2021."
5071588,Ben Nevis 10 Year Old pre-2016,57,,2023-10-04,Ben Nevis,10 Year Old,,Highland,Official,,46%,70cl,Operational,"Ben Nevis 10 Year Old pre-2016Ben Nevis distillery was built by ""Long"" John MacDonald in1825, andwas so popular by the end of the 19th century that at one point the estate employed over 200 people. After a series of closure and re-openings at the beginning of the 20th, it was eventually bought by former Canadian bootlegger, Joseph Hobbs. He installed acoffeystill there in 1955, making Ben Nevis Scotland's first dual-operation distillery, and began to blend its malt and grain before filling it to cask. Sporadic closures again followedHobb'sdeath, with stability finally ensured in 1989 when it was bought by long-term customers, Nikka Whisky of Japan. Its turbulent history means there were few distillery bottlings until the launch of this10 year oldsingle malt in 1996.This was the longest serving version of the 10 year old expression. It was updated and repackaged in 2016 and again 2021."
5071590,Ben Nevis 10 Year Old pre-2016,55,,2023-10-04,Ben Nevis,10 Year Old,,Highland,Official,,46%,70cl,Operational,"Ben Nevis 10 Year Old pre-2016Ben Nevis distillery was built by ""Long"" John MacDonald in1825, andwas so popular by the end of the 19th century that at one point the estate employed over 200 people. After a series of closure and re-openings at the beginning of the 20th, it was eventually bought by former Canadian bootlegger, Joseph Hobbs. He installed acoffeystill there in 1955, making Ben Nevis Scotland's first dual-operation distillery, and began to blend its malt and grain before filling it to cask. Sporadic closures again followedHobb'sdeath, with stability finally ensured in 1989 when it was bought by long-term customers, Nikka Whisky of Japan. Its turbulent history means there were few distillery bottlings until the launch of this10 year oldsingle malt in 1996.This was the longest serving version of the 10 year old expression. It was updated and repackaged in 2016 and again 2021."
5071591,Ben Nevis 10 Year Old pre-2016,57,,2023-10-04,Ben Nevis,10 Year Old,,Highland,Official,,46%,70cl,Operational,"Ben Nevis 10 Year Old pre-2016Ben Nevis distillery was built by ""Long"" John MacDonald in1825, andwas so popular by the end of the 19th century that at one point the estate employed over 200 people. After a series of closure and re-openings at the beginning of the 20th, it was eventually bought by former Canadian bootlegger, Joseph Hobbs. He installed acoffeystill there in 1955, making Ben Nevis Scotland's first dual-operation distillery, and began to blend its malt and grain before filling it to cask. Sporadic closures again followedHobb'sdeath, with stability finally ensured in 1989 when it was bought by long-term customers, Nikka Whisky of Japan. Its turbulent history means there were few distillery bottlings until the launch of this10 year oldsingle malt in 1996.This was the longest serving version of the 10 year old expression. It was updated and repackaged in 2016 and again 2021."
5071593,Ben Nevis 10 Year Old pre-2016,57,,2023-10-04,Ben Nevis,10 Year Old,,Highland,Official,,46%,70cl,Operational,"Ben Nevis 10 Year Old pre-2016Ben Nevis distillery was built by ""Long"" John MacDonald in1825, andwas so popular by the end of the 19th century that at one point the estate employed over 200 people. After a series of closure and re-openings at the beginning of the 20th, it was eventually bought by former Canadian bootlegger, Joseph Hobbs. He installed acoffeystill there in 1955, making Ben Nevis Scotland's first dual-operation distillery, and began to blend its malt and grain before filling it to cask. Sporadic closures again followedHobb'sdeath, with stability finally ensured in 1989 when it was bought by long-term customers, Nikka Whisky of Japan. Its turbulent history means there were few distillery bottlings until the launch of this10 year oldsingle malt in 1996.This was the longest serving version of the 10 year old expression. It was updated and repackaged in 2016 and again 2021."
